date,weekday,holiday,holiday_name,total
1/1/2016,Friday,1,New Year's Day,296
1/2/2016,Saturday,0,na,191
1/3/2016,Sunday,0,na,202
1/4/2016,Monday,0,na,105
1/5/2016,Tuesday,0,na,98
1/6/2016,Wednesday,0,na,83
1/7/2016,Thursday,0,na,69
1/8/2016,Friday,0,na,149
1/9/2016,Saturday,0,na,234
1/10/2016,Sunday,0,na,212
1/11/2016,Monday,0,na,101
1/12/2016,Tuesday,0,na,57
1/13/2016,Wednesday,0,na,65
1/14/2016,Thursday,0,na,106
1/15/2016,Friday,0,na,95
1/16/2016,Saturday,0,na,237
1/17/2016,Sunday,0,na,197
1/18/2016,Monday,1,Martin Luther King Day,132
1/19/2016,Tuesday,0,na,100
1/20/2016,Wednesday,0,na,107
1/21/2016,Thursday,0,na,106
1/22/2016,Friday,0,na,161
1/23/2016,Saturday,0,na,188
1/24/2016,Sunday,0,na,205
1/25/2016,Monday,0,na,95
1/26/2016,Tuesday,0,na,76
1/27/2016,Wednesday,0,na,105
1/28/2016,Thursday,0,na,95
1/29/2016,Friday,0,na,150
1/30/2016,Saturday,0,na,225
1/31/2016,Sunday,0,na,204
2/1/2016,Monday,0,na,94
2/2/2016,Tuesday,1,Groundhog Day,100
2/3/2016,Wednesday,0,na,72
2/4/2016,Thursday,0,na,97
2/5/2016,Friday,0,na,147
2/6/2016,Saturday,0,na,254
2/7/2016,Sunday,0,na,177
2/8/2016,Monday,0,na,68
2/9/2016,Tuesday,0,na,133
2/10/2016,Wednesday,0,na,107
2/11/2016,Thursday,0,na,176
2/12/2016,Friday,0,na,139
2/13/2016,Saturday,0,na,227
2/14/2016,Sunday,1,Valentine's Day,230
2/15/2016,Monday,1,Presidents Day,112
2/16/2016,Tuesday,0,na,91
2/17/2016,Wednesday,0,na,112
2/18/2016,Thursday,0,na,118
2/19/2016,Friday,0,na,167
2/20/2016,Saturday,0,na,213
2/21/2016,Sunday,0,na,147
2/22/2016,Monday,0,na,70
2/23/2016,Tuesday,0,na,106
2/24/2016,Wednesday,0,na,95
2/25/2016,Thursday,0,na,130
2/26/2016,Friday,0,na,182
2/27/2016,Saturday,0,na,298
2/28/2016,Sunday,0,na,196
2/29/2016,Monday,0,na,113
3/1/2016,Tuesday,0,na,97
3/2/2016,Wednesday,0,na,68
3/3/2016,Thursday,0,na,88
3/4/2016,Friday,0,na,135
3/5/2016,Saturday,0,na,254
3/6/2016,Sunday,0,na,192
3/7/2016,Monday,0,na,63
3/8/2016,Tuesday,0,na,152
3/9/2016,Wednesday,0,na,56
3/10/2016,Thursday,0,na,102
3/11/2016,Friday,0,na,118
3/12/2016,Saturday,0,na,276
3/13/2016,Sunday,0,na,188
3/14/2016,Monday,0,na,56
3/15/2016,Tuesday,0,na,98
3/16/2016,Wednesday,0,na,92
3/17/2016,Thursday,1,St. Patrick's Day,209
3/18/2016,Friday,0,na,184
3/19/2016,Saturday,0,na,236
3/20/2016,Sunday,0,na,222
3/21/2016,Monday,0,na,131
3/22/2016,Tuesday,0,na,98
3/23/2016,Wednesday,0,na,101
3/24/2016,Thursday,0,na,126
3/25/2016,Friday,1,Good Friday,271
3/26/2016,Saturday,0,na,292
3/27/2016,Sunday,1,Easter,237
3/28/2016,Monday,1,Easter Monday,158
3/29/2016,Tuesday,0,na,165
3/30/2016,Wednesday,0,na,103
3/31/2016,Thursday,0,na,100
4/1/2016,Friday,0,na,125
4/2/2016,Saturday,0,na,235
4/3/2016,Sunday,0,na,181
4/4/2016,Monday,0,na,92
4/5/2016,Tuesday,0,na,118
4/6/2016,Wednesday,0,na,76
4/7/2016,Thursday,0,na,88
4/8/2016,Friday,0,na,163
4/9/2016,Saturday,0,na,225
4/10/2016,Sunday,0,na,163
4/11/2016,Monday,0,na,56
4/12/2016,Tuesday,0,na,69
4/13/2016,Wednesday,0,na,67
4/14/2016,Thursday,0,na,42
4/15/2016,Friday,0,na,163
4/16/2016,Saturday,0,na,175
4/17/2016,Sunday,0,na,171
4/18/2016,Monday,0,na,54
4/19/2016,Tuesday,0,na,81
4/20/2016,Wednesday,0,na,87
4/21/2016,Thursday,0,na,123
4/22/2016,Friday,0,na,143
4/23/2016,Saturday,0,na,292
4/24/2016,Sunday,0,na,161
4/25/2016,Monday,0,na,74
4/26/2016,Tuesday,0,na,130
4/27/2016,Wednesday,0,na,67
4/28/2016,Thursday,0,na,135
4/29/2016,Friday,0,na,198
4/30/2016,Saturday,0,na,245
5/1/2016,Sunday,0,na,215
5/2/2016,Monday,0,na,107
5/3/2016,Tuesday,0,na,102
5/4/2016,Wednesday,0,na,108
5/5/2016,Thursday,1,Cinco de Mayo,183
5/6/2016,Friday,0,na,102
5/7/2016,Saturday,0,na,177
5/8/2016,Sunday,1,Mother's Day,240
5/9/2016,Monday,0,na,40
5/10/2016,Tuesday,0,na,60
5/11/2016,Wednesday,0,na,114
5/12/2016,Thursday,0,na,78
5/13/2016,Friday,0,na,119
5/14/2016,Saturday,0,na,235
5/15/2016,Sunday,0,na,176
5/16/2016,Monday,0,na,56
5/17/2016,Tuesday,0,na,53
5/18/2016,Wednesday,0,na,88
5/19/2016,Thursday,0,na,77
5/20/2016,Friday,0,na,142
5/21/2016,Saturday,0,na,240
5/22/2016,Sunday,0,na,159
5/23/2016,Monday,0,na,50
5/24/2016,Tuesday,0,na,56
5/25/2016,Wednesday,0,na,123
5/26/2016,Thursday,0,na,124
5/27/2016,Friday,0,na,119
5/28/2016,Saturday,0,na,254
5/29/2016,Sunday,0,na,154
5/30/2016,Monday,1,Memorial Day,154
5/31/2016,Tuesday,0,na,76
6/1/2016,Wednesday,0,na,67
6/2/2016,Thursday,0,na,77
6/3/2016,Friday,0,na,99
6/4/2016,Saturday,0,na,174
6/5/2016,Sunday,0,na,153
6/6/2016,Monday,0,na,73
6/7/2016,Tuesday,0,na,96
6/8/2016,Wednesday,0,na,102
6/9/2016,Thursday,0,na,109
6/10/2016,Friday,0,na,156
6/11/2016,Saturday,0,na,207
6/12/2016,Sunday,0,na,186
6/13/2016,Monday,0,na,44
6/14/2016,Tuesday,0,na,97
6/15/2016,Wednesday,0,na,86
6/16/2016,Thursday,0,na,82
6/17/2016,Friday,0,na,154
6/18/2016,Saturday,0,na,220
6/19/2016,Sunday,1,Father's Day,224
6/20/2016,Monday,0,na,88
6/21/2016,Tuesday,0,na,89
6/22/2016,Wednesday,0,na,60
6/23/2016,Thursday,0,na,107
6/24/2016,Friday,0,na,157
6/25/2016,Saturday,0,na,241
6/26/2016,Sunday,0,na,203
6/27/2016,Monday,0,na,76
6/28/2016,Tuesday,0,na,91
6/29/2016,Wednesday,0,na,117
6/30/2016,Thursday,0,na,86
7/1/2016,Friday,0,na,115
7/2/2016,Saturday,0,na,230
7/3/2016,Sunday,0,na,174
7/4/2016,Monday,1,Independence Day,136
7/5/2016,Tuesday,0,na,115
7/6/2016,Wednesday,0,na,130
7/7/2016,Thursday,0,na,93
7/8/2016,Friday,0,na,148
7/9/2016,Saturday,0,na,242
7/10/2016,Sunday,0,na,219
7/11/2016,Monday,0,na,84
7/12/2016,Tuesday,0,na,80
7/13/2016,Wednesday,0,na,75
7/14/2016,Thursday,0,na,68
7/15/2016,Friday,0,na,118
7/16/2016,Saturday,0,na,224
7/17/2016,Sunday,0,na,195
7/18/2016,Monday,0,na,117
7/19/2016,Tuesday,0,na,68
7/20/2016,Wednesday,0,na,80
7/21/2016,Thursday,0,na,56
7/22/2016,Friday,0,na,192
7/23/2016,Saturday,0,na,195
7/24/2016,Sunday,0,na,156
7/25/2016,Monday,0,na,70
7/26/2016,Tuesday,0,na,91
7/27/2016,Wednesday,0,na,64
7/28/2016,Thursday,0,na,106
7/29/2016,Friday,0,na,141
7/30/2016,Saturday,0,na,236
7/31/2016,Sunday,0,na,146
8/1/2016,Monday,0,na,51
8/2/2016,Tuesday,0,na,73
8/3/2016,Wednesday,0,na,114
8/4/2016,Thursday,0,na,81
8/5/2016,Friday,0,na,101
8/6/2016,Saturday,0,na,154
8/7/2016,Sunday,0,na,157
8/8/2016,Monday,0,na,75
8/9/2016,Tuesday,0,na,77
8/10/2016,Wednesday,0,na,103
8/11/2016,Thursday,0,na,122
8/12/2016,Friday,0,na,150
8/13/2016,Saturday,0,na,196
8/14/2016,Sunday,0,na,149
8/15/2016,Monday,0,na,161
8/16/2016,Tuesday,0,na,84
8/17/2016,Wednesday,0,na,75
8/18/2016,Thursday,0,na,51
8/19/2016,Friday,0,na,127
8/20/2016,Saturday,0,na,183
8/21/2016,Sunday,0,na,144
8/22/2016,Monday,0,na,65
8/23/2016,Tuesday,0,na,83
8/24/2016,Wednesday,0,na,92
8/25/2016,Thursday,0,na,113
8/26/2016,Friday,0,na,129
8/27/2016,Saturday,0,na,196
8/28/2016,Sunday,0,na,175
8/29/2016,Monday,0,na,84
8/30/2016,Tuesday,0,na,57
8/31/2016,Wednesday,0,na,110
9/1/2016,Thursday,0,na,54
9/2/2016,Friday,0,na,103
9/3/2016,Saturday,0,na,243
9/4/2016,Sunday,0,na,163
9/5/2016,Monday,1,Labor Day,158
9/6/2016,Tuesday,0,na,63
9/7/2016,Wednesday,0,na,102
9/8/2016,Thursday,0,na,61
9/9/2016,Friday,0,na,103
9/10/2016,Saturday,0,na,209
9/11/2016,Sunday,0,na,181
9/12/2016,Monday,0,na,63
9/13/2016,Tuesday,0,na,56
9/14/2016,Wednesday,0,na,73
9/15/2016,Thursday,0,na,93
9/16/2016,Friday,0,na,140
9/17/2016,Saturday,0,na,272
9/18/2016,Sunday,0,na,211
9/19/2016,Monday,0,na,119
9/20/2016,Tuesday,0,na,51
9/21/2016,Wednesday,0,na,120
9/22/2016,Thursday,0,na,146
9/23/2016,Friday,0,na,137
9/24/2016,Saturday,0,na,207
9/25/2016,Sunday,0,na,174
9/26/2016,Monday,0,na,53
9/27/2016,Tuesday,0,na,127
9/28/2016,Wednesday,0,na,139
9/29/2016,Thursday,0,na,57
9/30/2016,Friday,0,na,129
10/1/2016,Saturday,0,na,191
10/2/2016,Sunday,0,na,171
10/3/2016,Monday,0,na,74
10/4/2016,Tuesday,0,na,105
10/5/2016,Wednesday,0,na,58
10/6/2016,Thursday,0,na,75
10/7/2016,Friday,0,na,149
10/8/2016,Saturday,0,na,228
10/9/2016,Sunday,0,na,189
10/10/2016,Monday,1,Columbus Day,194
10/11/2016,Tuesday,0,na,86
10/12/2016,Wednesday,0,na,72
10/13/2016,Thursday,0,na,68
10/14/2016,Friday,0,na,181
10/15/2016,Saturday,0,na,214
10/16/2016,Sunday,0,na,149
10/17/2016,Monday,0,na,41
10/18/2016,Tuesday,0,na,109
10/19/2016,Wednesday,0,na,101
10/20/2016,Thursday,0,na,79
10/21/2016,Friday,0,na,121
10/22/2016,Saturday,0,na,218
10/23/2016,Sunday,0,na,142
10/24/2016,Monday,0,na,79
10/25/2016,Tuesday,0,na,96
10/26/2016,Wednesday,0,na,85
10/27/2016,Thursday,0,na,97
10/28/2016,Friday,0,na,142
10/29/2016,Saturday,0,na,256
10/30/2016,Sunday,0,na,196
10/31/2016,Monday,1,Halloween,181
11/1/2016,Tuesday,0,na,110
11/2/2016,Wednesday,0,na,121
11/3/2016,Thursday,0,na,198
11/4/2016,Friday,0,na,106
11/5/2016,Saturday,0,na,203
11/6/2016,Sunday,0,na,138
11/7/2016,Monday,0,na,61
11/8/2016,Tuesday,0,na,77
11/9/2016,Wednesday,0,na,92
11/10/2016,Thursday,0,na,83
11/11/2016,Friday,1,Veterans' Day,207
11/12/2016,Saturday,0,na,208
11/13/2016,Sunday,0,na,149
11/14/2016,Monday,0,na,77
11/15/2016,Tuesday,0,na,62
11/16/2016,Wednesday,0,na,120
11/17/2016,Thursday,0,na,101
11/18/2016,Friday,0,na,150
11/19/2016,Saturday,0,na,206
11/20/2016,Sunday,0,na,98
11/21/2016,Monday,0,na,66
11/22/2016,Tuesday,0,na,148
11/23/2016,Wednesday,0,na,105
11/24/2016,Thursday,1,Thanksgiving,65
11/25/2016,Friday,1,Black Friday,235
11/26/2016,Saturday,0,na,232
11/27/2016,Sunday,0,na,155
11/28/2016,Monday,0,na,71
11/29/2016,Tuesday,0,na,97
11/30/2016,Wednesday,0,na,102
12/1/2016,Thursday,0,na,76
12/2/2016,Friday,0,na,110
12/3/2016,Saturday,0,na,230
12/4/2016,Sunday,0,na,187
12/5/2016,Monday,0,na,80
12/6/2016,Tuesday,0,na,73
12/7/2016,Wednesday,0,na,70
12/8/2016,Thursday,0,na,93
12/9/2016,Friday,0,na,140
12/10/2016,Saturday,0,na,238
12/11/2016,Sunday,0,na,184
12/12/2016,Monday,0,na,66
12/13/2016,Tuesday,0,na,103
12/14/2016,Wednesday,0,na,120
12/15/2016,Thursday,0,na,125
12/16/2016,Friday,0,na,157
12/17/2016,Saturday,0,na,246
12/18/2016,Sunday,0,na,155
12/19/2016,Monday,0,na,83
12/20/2016,Tuesday,0,na,91
12/21/2016,Wednesday,0,na,118
12/22/2016,Thursday,0,na,181
12/23/2016,Friday,0,na,196
12/24/2016,Saturday,1,Christmas Eve,266
12/25/2016,Sunday,1,Christmas Day,234
12/26/2016,Monday,0,na,100
12/27/2016,Tuesday,0,na,124
12/28/2016,Wednesday,0,na,144
12/29/2016,Thursday,0,na,122
12/30/2016,Friday,0,na,196
12/31/2016,Saturday,1,New Year's Eve,316
1/1/2017,Sunday,1,New Year's Day,256
1/2/2017,Monday,0,na,130
1/3/2017,Tuesday,0,na,144
1/4/2017,Wednesday,0,na,99
1/5/2017,Thursday,0,na,75
1/6/2017,Friday,0,na,91
1/7/2017,Saturday,0,na,233
1/8/2017,Sunday,0,na,172
1/9/2017,Monday,0,na,91
1/10/2017,Tuesday,0,na,69
1/11/2017,Wednesday,0,na,62
1/12/2017,Thursday,0,na,79
1/13/2017,Friday,0,na,102
1/14/2017,Saturday,0,na,226
1/15/2017,Sunday,0,na,158
1/16/2017,Monday,1,Martin Luther King Day,137
1/17/2017,Tuesday,0,na,103
1/18/2017,Wednesday,0,na,100
1/19/2017,Thursday,0,na,70
1/20/2017,Friday,0,na,125
1/21/2017,Saturday,0,na,182
1/22/2017,Sunday,0,na,146
1/23/2017,Monday,0,na,62
1/24/2017,Tuesday,0,na,82
1/25/2017,Wednesday,0,na,115
1/26/2017,Thursday,0,na,95
1/27/2017,Friday,0,na,131
1/28/2017,Saturday,0,na,250
1/29/2017,Sunday,0,na,190
1/30/2017,Monday,0,na,74
1/31/2017,Tuesday,0,na,94
2/1/2017,Wednesday,0,na,81
2/2/2017,Thursday,1,Groundhog Day,67
2/3/2017,Friday,0,na,121
2/4/2017,Saturday,0,na,229
2/5/2017,Sunday,0,na,157
2/6/2017,Monday,0,na,60
2/7/2017,Tuesday,0,na,65
2/8/2017,Wednesday,0,na,112
2/9/2017,Thursday,0,na,122
2/10/2017,Friday,0,na,146
2/11/2017,Saturday,0,na,219
2/12/2017,Sunday,0,na,184
2/13/2017,Monday,0,na,64
2/14/2017,Tuesday,1,Valentine's Day,248
2/15/2017,Wednesday,0,na,90
2/16/2017,Thursday,0,na,110
2/17/2017,Friday,0,na,140
2/18/2017,Saturday,0,na,248
2/19/2017,Sunday,0,na,162
2/20/2017,Monday,1,Presidents Day,134
2/21/2017,Tuesday,0,na,84
2/22/2017,Wednesday,0,na,108
2/23/2017,Thursday,0,na,118
2/24/2017,Friday,0,na,144
2/25/2017,Saturday,0,na,261
2/26/2017,Sunday,0,na,153
2/27/2017,Monday,0,na,78
2/28/2017,Tuesday,0,na,123
3/1/2017,Wednesday,0,na,61
3/2/2017,Thursday,0,na,80
3/3/2017,Friday,0,na,102
3/4/2017,Saturday,0,na,237
3/5/2017,Sunday,0,na,164
3/6/2017,Monday,0,na,63
3/7/2017,Tuesday,0,na,69
3/8/2017,Wednesday,0,na,102
3/9/2017,Thursday,0,na,111
3/10/2017,Friday,0,na,155
3/11/2017,Saturday,0,na,296
3/12/2017,Sunday,0,na,158
3/13/2017,Monday,0,na,98
3/14/2017,Tuesday,0,na,86
3/15/2017,Wednesday,0,na,62
3/16/2017,Thursday,0,na,71
3/17/2017,Friday,1,St. Patrick's Day,205
3/18/2017,Saturday,0,na,179
3/19/2017,Sunday,0,na,205
3/20/2017,Monday,0,na,125
3/21/2017,Tuesday,0,na,55
3/22/2017,Wednesday,0,na,109
3/23/2017,Thursday,0,na,84
3/24/2017,Friday,0,na,154
3/25/2017,Saturday,0,na,264
3/26/2017,Sunday,0,na,146
3/27/2017,Monday,0,na,98
3/28/2017,Tuesday,0,na,97
3/29/2017,Wednesday,0,na,140
3/30/2017,Thursday,0,na,100
3/31/2017,Friday,0,na,149
4/1/2017,Saturday,0,na,196
4/2/2017,Sunday,0,na,196
4/3/2017,Monday,0,na,69
4/4/2017,Tuesday,0,na,99
4/5/2017,Wednesday,0,na,98
4/6/2017,Thursday,0,na,74
4/7/2017,Friday,0,na,162
4/8/2017,Saturday,0,na,191
4/9/2017,Sunday,0,na,177
4/10/2017,Monday,0,na,73
4/11/2017,Tuesday,0,na,77
4/12/2017,Wednesday,0,na,89
4/13/2017,Thursday,0,na,70
4/14/2017,Friday,1,Good Friday,221
4/15/2017,Saturday,0,na,218
4/16/2017,Sunday,1,Easter,253
4/17/2017,Monday,1,Easter Monday,140
4/18/2017,Tuesday,0,na,91
4/19/2017,Wednesday,0,na,79
4/20/2017,Thursday,0,na,90
4/21/2017,Friday,0,na,165
4/22/2017,Saturday,0,na,226
4/23/2017,Sunday,0,na,
4/24/2017,Monday,0,na,
4/25/2017,Tuesday,0,na,
4/26/2017,Wednesday,0,na,
4/27/2017,Thursday,0,na,
4/28/2017,Friday,0,na,
4/29/2017,Saturday,0,na,
4/30/2017,Sunday,0,na,
5/1/2017,Monday,0,na,
5/2/2017,Tuesday,0,na,
5/3/2017,Wednesday,0,na,
5/4/2017,Thursday,0,na,
5/5/2017,Friday,1,Cinco de Mayo,
5/6/2017,Saturday,0,na,
5/7/2017,Sunday,0,na,
5/8/2017,Monday,0,na,
5/9/2017,Tuesday,0,na,
5/10/2017,Wednesday,0,na,
5/11/2017,Thursday,0,na,
5/12/2017,Friday,0,na,
5/13/2017,Saturday,0,na,
5/14/2017,Sunday,1,Mother's Day,
5/15/2017,Monday,0,na,
5/16/2017,Tuesday,0,na,
5/17/2017,Wednesday,0,na,
5/18/2017,Thursday,0,na,
5/19/2017,Friday,0,na,
5/20/2017,Saturday,0,na,
5/21/2017,Sunday,0,na,
5/22/2017,Monday,0,na,
5/23/2017,Tuesday,0,na,
5/24/2017,Wednesday,0,na,
5/25/2017,Thursday,0,na,
5/26/2017,Friday,0,na,
5/27/2017,Saturday,0,na,
5/28/2017,Sunday,0,na,
5/29/2017,Monday,1,Memorial Day,
5/30/2017,Tuesday,0,na,
5/31/2017,Wednesday,0,na,
